pet_type,pet_category,food_name,ingredients,description,label
dog,small,broccoli meal,"broccoli, vitamins, minerals",broccoli based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,rice meal,"rice, vitamins, minerals",rice based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,oats meal,"oats, vitamins, minerals",oats based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,duck meal,"duck, vitamins, minerals",duck based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,millet meal,"millet, vitamins, minerals",millet based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,sunflower seeds meal,"sunflower seeds, vitamins, minerals",sunflower seeds based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,duck meal,"duck, vitamins, minerals",duck based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,lamb meal,"lamb, vitamins, minerals",lamb based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,rice meal,"rice, vitamins, minerals",rice based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,broccoli meal,"broccoli, vitamins, minerals",broccoli based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,fish meal meal,"fish meal, vitamins, minerals",fish meal based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,sweet potato meal,"sweet potato, vitamins, minerals",sweet potato based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,duck meal,"duck, vitamins, minerals",duck based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,rice meal,"rice, vitamins, minerals",rice based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,oats meal,"oats, vitamins, minerals",oats based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,lamb meal,"lamb, vitamins, minerals",lamb based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,fish meal meal,"fish meal, vitamins, minerals",fish meal based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,chicken meal,"chicken, vitamins, minerals",chicken based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,oats meal,"oats, vitamins, minerals",oats based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,shrimp meal,"shrimp, vitamins, minerals",shrimp based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,chicken meal,"chicken, vitamins, minerals",chicken based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,carrot meal,"carrot, vitamins, minerals",carrot based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,oats meal,"oats, vitamins, minerals",oats based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,millet meal,"millet, vitamins, minerals",millet based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,tuna meal,"tuna, vitamins, minerals",tuna based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,millet meal,"millet, vitamins, minerals",millet based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,millet meal,"millet, vitamins, minerals",millet based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,tuna meal,"tuna, vitamins, minerals",tuna based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,spinach meal,"spinach, vitamins, minerals",spinach based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,egg meal,"egg, vitamins, minerals",egg based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,sweet potato meal,"sweet potato, vitamins, minerals",sweet potato based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,egg meal,"egg, vitamins, minerals",egg based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,shrimp meal,"shrimp, vitamins, minerals",shrimp based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,carrot meal,"carrot, vitamins, minerals",carrot based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,sunflower seeds meal,"sunflower seeds, vitamins, minerals",sunflower seeds based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,carrot meal,"carrot, vitamins, minerals",carrot based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,shrimp meal,"shrimp, vitamins, minerals",shrimp based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,broccoli meal,"broccoli, vitamins, minerals",broccoli based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,salmon meal,"salmon, vitamins, minerals",salmon based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,sunflower seeds meal,"sunflower seeds, vitamins, minerals",sunflower seeds based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,pumpkin meal,"pumpkin, vitamins, minerals",pumpkin based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,carrot meal,"carrot, vitamins, minerals",carrot based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,spinach meal,"spinach, vitamins, minerals",spinach based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,duck meal,"duck, vitamins, minerals",duck based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,millet meal,"millet, vitamins, minerals",millet based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,broccoli meal,"broccoli, vitamins, minerals",broccoli based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,oats meal,"oats, vitamins, minerals",oats based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,lamb meal,"lamb, vitamins, minerals",lamb based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,tuna meal,"tuna, vitamins, minerals",tuna based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,peas meal,"peas, vitamins, minerals",peas based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,fish meal meal,"fish meal, vitamins, minerals",fish meal based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,shrimp meal,"shrimp, vitamins, minerals",shrimp based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,sunflower seeds meal,"sunflower seeds, vitamins, minerals",sunflower seeds based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,chicken meal,"chicken, vitamins, minerals",chicken based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,rice meal,"rice, vitamins, minerals",rice based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,turkey meal,"turkey, vitamins, minerals",turkey based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,pumpkin meal,"pumpkin, vitamins, minerals",pumpkin based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,broccoli meal,"broccoli, vitamins, minerals",broccoli based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,peas meal,"peas, vitamins, minerals",peas based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,rice meal,"rice, vitamins, minerals",rice based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,egg meal,"egg, vitamins, minerals",egg based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,broccoli meal,"broccoli, vitamins, minerals",broccoli based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,pumpkin meal,"pumpkin, vitamins, minerals",pumpkin based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,broccoli meal,"broccoli, vitamins, minerals",broccoli based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,duck meal,"duck, vitamins, minerals",duck based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,broccoli meal,"broccoli, vitamins, minerals",broccoli based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,turkey meal,"turkey, vitamins, minerals",turkey based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,broccoli meal,"broccoli, vitamins, minerals",broccoli based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,duck meal,"duck, vitamins, minerals",duck based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,peas meal,"peas, vitamins, minerals",peas based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,broccoli meal,"broccoli, vitamins, minerals",broccoli based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,spinach meal,"spinach, vitamins, minerals",spinach based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,pumpkin meal,"pumpkin, vitamins, minerals",pumpkin based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,sweet potato meal,"sweet potato, vitamins, minerals",sweet potato based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,lamb meal,"lamb, vitamins, minerals",lamb based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,brown rice meal,"brown rice, vitamins, minerals",brown rice based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,peanut butter snack,"peanut butter, wheat, corn",peanut butter based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,wheat snack,"wheat, wheat, corn",wheat based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,honey snack,"honey, wheat, corn",honey based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,potato snack,"potato, wheat, corn",potato based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,bread snack,"bread, wheat, corn",bread based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,corn snack,"corn, wheat, corn",corn based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,coconut snack,"coconut, wheat, corn",coconut based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,cheese snack,"cheese, wheat, corn",cheese based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,mango snack,"mango, wheat, corn",mango based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,cheese snack,"cheese, wheat, corn",cheese based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,barley snack,"barley, wheat, corn",barley based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,bread snack,"bread, wheat, corn",bread based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,bread snack,"bread, wheat, corn",bread based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,mango snack,"mango, wheat, corn",mango based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,bread snack,"bread, wheat, corn",bread based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,mango snack,"mango, wheat, corn",mango based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,milk snack,"milk, wheat, corn",milk based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,barley snack,"barley, wheat, corn",barley based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,corn snack,"corn, wheat, corn",corn based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,corn snack,"corn, wheat, corn",corn based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,banana snack,"banana, wheat, corn",banana based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,yogurt snack,"yogurt, wheat, corn",yogurt based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,peanut butter snack,"peanut butter, wheat, corn",peanut butter based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,yogurt snack,"yogurt, wheat, corn",yogurt based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,soybean snack,"soybean, wheat, corn",soybean based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,cheese snack,"cheese, wheat, corn",cheese based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,peanut butter snack,"peanut butter, wheat, corn",peanut butter based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,banana snack,"banana, wheat, corn",banana based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,soybean snack,"soybean, wheat, corn",soybean based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,honey snack,"honey, wheat, corn",honey based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,barley snack,"barley, wheat, corn",barley based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,potato snack,"potato, wheat, corn",potato based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,peanut butter snack,"peanut butter, wheat, corn",peanut butter based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,corn snack,"corn, wheat, corn",corn based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,milk snack,"milk, wheat, corn",milk based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,yogurt snack,"yogurt, wheat, corn",yogurt based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,soybean snack,"soybean, wheat, corn",soybean based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,barley snack,"barley, wheat, corn",barley based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,soybean snack,"soybean, wheat, corn",soybean based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,cheese snack,"cheese, wheat, corn",cheese based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,honey snack,"honey, wheat, corn",honey based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,milk snack,"milk, wheat, corn",milk based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,peanut butter snack,"peanut butter, wheat, corn",peanut butter based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,banana snack,"banana, wheat, corn",banana based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,banana snack,"banana, wheat, corn",banana based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,honey snack,"honey, wheat, corn",honey based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,yogurt snack,"yogurt, wheat, corn",yogurt based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,mango snack,"mango, wheat, corn",mango based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,mango snack,"mango, wheat, corn",mango based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,coconut snack,"coconut, wheat, corn",coconut based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,milk snack,"milk, wheat, corn",milk based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,bread snack,"bread, wheat, corn",bread based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,apple snack,"apple, wheat, corn",apple based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,cheese snack,"cheese, wheat, corn",cheese based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,wheat snack,"wheat, wheat, corn",wheat based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,cheese snack,"cheese, wheat, corn",cheese based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,bread snack,"bread, wheat, corn",bread based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,honey snack,"honey, wheat, corn",honey based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,banana snack,"banana, wheat, corn",banana based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,wheat snack,"wheat, wheat, corn",wheat based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,apple snack,"apple, wheat, corn",apple based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,cheese snack,"cheese, wheat, corn",cheese based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,corn snack,"corn, wheat, corn",corn based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,barley snack,"barley, wheat, corn",barley based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,barley snack,"barley, wheat, corn",barley based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,potato snack,"potato, wheat, corn",potato based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,banana snack,"banana, wheat, corn",banana based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,honey snack,"honey, wheat, corn",honey based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,yogurt snack,"yogurt, wheat, corn",yogurt based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,barley snack,"barley, wheat, corn",barley based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,barley snack,"barley, wheat, corn",barley based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,milk snack,"milk, wheat, corn",milk based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,potato snack,"potato, wheat, corn",potato based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,milk snack,"milk, wheat, corn",milk based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,cheese snack,"cheese, wheat, corn",cheese based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,bread snack,"bread, wheat, corn",bread based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,potato snack,"potato, wheat, corn",potato based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,banana snack,"banana, wheat, corn",banana based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,yogurt snack,"yogurt, wheat, corn",yogurt based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,banana snack,"banana, wheat, corn",banana based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,corn snack,"corn, wheat, corn",corn based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,potato snack,"potato, wheat, corn",potato based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,cheese snack,"cheese, wheat, corn",cheese based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,peanut butter snack,"peanut butter, wheat, corn",peanut butter based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,yogurt snack,"yogurt, wheat, corn",yogurt based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,cheese snack,"cheese, wheat, corn",cheese based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,yogurt snack,"yogurt, wheat, corn",yogurt based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,milk snack,"milk, wheat, corn",milk based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,milk snack,"milk, wheat, corn",milk based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,potato snack,"potato, wheat, corn",potato based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,soybean snack,"soybean, wheat, corn",soybean based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,coconut snack,"coconut, wheat, corn",coconut based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,barley snack,"barley, wheat, corn",barley based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,barley snack,"barley, wheat, corn",barley based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,apple snack,"apple, wheat, corn",apple based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,coconut snack,"coconut, wheat, corn",coconut based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,mango snack,"mango, wheat, corn",mango based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,soybean snack,"soybean, wheat, corn",soybean based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,cheese snack,"cheese, wheat, corn",cheese based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,potato snack,"potato, wheat, corn",potato based food occasionally acceptable for dog (small) but should be given in limited quantities.,moderate
dog,small,grapes food,"grapes, additives",grapes containing product that may be harmful or toxic for dog (small) and should be avoided.,unsafe
dog,small,garlic food,"garlic, additives",garlic containing product that may be harmful or toxic for dog (small) and should be avoided.,unsafe
dog,small,macadamia nuts food,"macadamia nuts, additives",macadamia nuts containing product that may be harmful or toxic for dog (small) and should be avoided.,unsafe
dog,small,macadamia nuts food,"macadamia nuts, additives",macadamia nuts containing product that may be harmful or toxic for dog (small) and should be avoided.,unsafe
dog,small,detergent food,"detergent, additives",detergent containing product that may be harmful or toxic for dog (small) and should be avoided.,unsafe
dog,small,chocolate food,"chocolate, additives",chocolate containing product that may be harmful or toxic for dog (small) and should be avoided.,unsafe
dog,small,xylitol food,"xylitol, additives",xylitol containing product that may be harmful or toxic for dog (small) and should be avoided.,unsafe
dog,small,caffeine food,"caffeine, additives",caffeine containing product that may be harmful or toxic for dog (small) and should be avoided.,unsafe
dog,small,macadamia nuts food,"macadamia nuts, additives",macadamia nuts containing product that may be harmful or toxic for dog (small) and should be avoided.,unsafe
dog,small,caffeine food,"caffeine, additives",caffeine containing product that may be harmful or toxic for dog (small) and should be avoided.,unsafe
dog,small,raisins food,"raisins, additives",raisins containing product that may be harmful or toxic for dog (small) and should be avoided.,unsafe
dog,small,detergent food,"detergent, additives",detergent containing product that may be harmful or toxic for dog (small) and should be avoided.,unsafe
dog,small,macadamia nuts food,"macadamia nuts, additives",macadamia nuts containing product that may be harmful or toxic for dog (small) and should be avoided.,unsafe
dog,small,raisins food,"raisins, additives",raisins containing product that may be harmful or toxic for dog (small) and should be avoided.,unsafe
dog,small,alcohol food,"alcohol, additives",alcohol containing product that may be harmful or toxic for dog (small) and should be avoided.,unsafe
dog,small,oil residue food,"oil residue, additives",oil residue containing product that may be harmful or toxic for dog (small) and should be avoided.,unsafe
dog,small,garlic food,"garlic, additives",garlic containing product that may be harmful or toxic for dog (small) and should be avoided.,unsafe
dog,small,detergent food,"detergent, additives",detergent containing product that may be harmful or toxic for dog (small) and should be avoided.,unsafe
dog,small,alcohol food,"alcohol, additives",alcohol containing product that may be harmful or toxic for dog (small) and should be avoided.,unsafe
dog,small,macadamia nuts food,"macadamia nuts, additives",macadamia nuts containing product that may be harmful or toxic for dog (small) and should be avoided.,unsafe
dog,small,detergent food,"detergent, additives",detergent containing product that may be harmful or toxic for dog (small) and should be avoided.,unsafe
dog,small,raisins food,"raisins, additives",raisins containing product that may be harmful or toxic for dog (small) and should be avoided.,unsafe
dog,small,salt overdose food,"salt overdose, additives",salt overdose containing product that may be harmful or toxic for dog (small) and should be avoided.,unsafe
dog,small,macadamia nuts food,"macadamia nuts, additives",macadamia nuts containing product that may be harmful or toxic for dog (small) and should be avoided.,unsafe
dog,small,soap food,"soap, additives",soap containing product that may be harmful or toxic for dog (small) and should be avoided.,unsafe
dog,small,avocado food,"avocado, additives",avocado containing product that may be harmful or toxic for dog (small) and should be avoided.,unsafe
dog,small,alcohol food,"alcohol, additives",alcohol containing product that may be harmful or toxic for dog (small) and should be avoided.,unsafe
dog,small,oil residue food,"oil residue, additives",oil residue containing product that may be harmful or toxic for dog (small) and should be avoided.,unsafe
dog,small,chocolate food,"chocolate, additives",chocolate containing product that may be harmful or toxic for dog (small) and should be avoided.,unsafe
dog,small,raisins food,"raisins, additives",raisins containing product that may be harmful or toxic for dog (small) and should be avoided.,unsafe
dog,small,avocado food,"avocado, additives",avocado containing product that may be harmful or toxic for dog (small) and should be avoided.,unsafe
